country,country_code,date_added,has_expired,job_board,Job_Description,Requirement,Job_Title,Job_Type,Location,Organization,Page_URL,Salary,Sector,Uniq_ID
United States of America,US,,No,jobs.monster.com,"Business & Strategy AnalystOne of our top clients in North Houston, TX is seeking a Business & Strategy Analyst to join their team on a Direct Hire basis. Company Profile:Our client is a well-established company that provides litigation services across the country.  They have won multiple awards over consecutive years and are a clear leader in the industry. Features and Benefits:The company offers traditional benefits including: Health, Dental, and Vision insurance401K Paid Time Off (PTO) Paid holidays The real draw for this company is the rapid growth in experience available to you as well as the ability to work autonomously. This is a company culture of top performers who work extremely well as a team. The flat organizational structure allows for greater exposure to various aspects of the operation which gives a larger breadth of experience. This exposure also opens the door to being promoted within the organization to various areas where you show interest and ability.  It is a great environment for a career-minded professional.  Business & Strategy Analyst Role:The Business & Strategy Analyst is a high-visibility position who works closely with senior leadership and managers across the company.  Primary responsibilities range across process improvements, project management, data analysis, and business strategy development.  Daily duties would include: • Analyze current business practices seeking opportunities to increase efficiency • Consult on strategic planning and decisions using deep analysis of the current market place alongside current internal business capabilities • Work with company managers to calculate value and potential ROI of upcoming projects • Partner with managers throughout the organization and analyze internal/external data to work with senior leadership on strategic direction of the company The Business & Strategy Analyst will join a small team and have an immediate impact on the organization by assisting with corporate strategy in areas such as pricing, analyzing programs, central product modeling, etc. In addition to joining a team of highly-capable top producers, your input is sought and considered at the highest levels of decision making.  This is an excellent opportunity for a growth-minded individual to make this position as big as they can imagine it to be. Business & Strategy Analyst Background Profile:Bachelor’s degree in Finance, Accounting, Economics, or related quantitative field 2-4 years of experience in business strategy, analysis, and performancePrevious experience consulting with multiple client/company experience is highly preferred  Expertise in analysis of large amounts of quantitative data Excellent communication and interpersonal skills with ability to work with all levels of professional, including senior management Advanced MS Excel and SQL skills – financial modeling, business cases, etc. Prior experience in a rotational program or management consulting firm is a plus  Ability to thrive in a fast-paced, team-oriented work environmentPlease visit us at https://www.frontlinesourcegroup.com/the-woodlands.html and https://www.frontlinesourcegroup.com/accounting-finance.html Equal Opportunity Employer, M/F/V/D.  Candidates must have authorization to work in the U.S.  Clients will not sponsor visas.Frontline Source Group specializes in matching top talent with companies for direct hire, contract, contract-to-hire, temporary, and temp to hire placements in Accounting, Finance, Information Technology/ IT, Human Resources, Administrative, Executive Assistant, Customer Service, Healthcare, Engineering, and Oil & Gas. We work with clients and candidates in all areas of the United States and have offices throughout Texas (Arlington, Austin, Dallas, Fort Worth, Frisco, Houston – Downtown, Houston – Galleria, Houston – West, Irving, Katy, Lewisville, Plano, Richardson, San Antonio, Sugar Land, and The Woodlands), Tennessee (Nashville and Brentwood), Arizona (Phoenix and Scottsdale), Oklahoma (Oklahoma City), and Colorado (Denver and Denver DTC).",,Business & Strategy Analyst,"Full Time, Employee","Houston, TX",Legal Services,http://jobview.monster.com/Business-amp-Strategy-Analyst-Job-Houston-TX-US-166991654.aspx?mescoid=1300087001001&jobPosition=1,,Business/Strategic Management,9331cb7b561348a692f7afc58ac78926
United States of America,US,,No,jobs.monster.com,"Support program to implement global regulatory and compliance changes across application landscape. Houston is preferred location however, remote candidates with right skillset will also be considered. Formulate and define system scope and objectives using knowledge of information technology and industry knowledge/ requirements.Act as a liaison between client and technical solutions/ support groups, using strong communication skills to elicit, document, analyze and validate business processes, systems, and solution requirements. Research, identify, and specify solutions to problems. Support and conduct visualization, user experience and configuration elements of solution design including configuring and testing the application. Document requirements specifications using high-maturity methods, processes and tools. Support requirements management and change management processes. Support aspects of the business cycle, including proposals, feasibility studies, and implementations. Consider the business implications of the application of technology to the current business environment Strong communications skills written and verbal 3 years or more experience supporting development project work in a business analyst capacity Ability to effectively elicit business requirements Knowledge of configuring SAP FICO module including GL, AP, AR is required Experience with minimum of 2 SAP lifecycle implementation is preferred Experience with HP ALM tool is including creating test cases/plan for the FICO business process is required Experis is an Equal Opportunity Employer (EOE/AA)",,Business Analyst,Full Time Temporary/Contract/Project,Business Analyst,"Houston, TX",http://jobview.monster.com/Business-Analyst-Job-Houston-TX-US-166898776.aspx?mescoid=1300087001001&jobPosition=13,,IT/Software Development,48b975d642803ab6c201b1b59adb5dbf
United States of America,US,,No,jobs.monster.com,"The Amazon Seller Mobile Application team is looking for an experienced business intelligence analyst to join our team in Santa Cruz and help us fulfill our ever-growing information needs and support analysis of increasingly complex business questions.We are looking for a brilliant, creative, and passionate Analytics/Business Intelligence professional to lead our mobile insight analytics efforts. We are looking for someone who will deepen our understanding of mobile Marketplace Seller behavior, including measurement of immediate actions as well as longitudinal measurement and analysis of longer-term behavior change. A key responsibility of this role is to understand how Sellers are using mobile and desktop Marketplace services and identify trigger points to help drive the right marketing and build the right features. You will leverage large amounts of data to quickly target Sellers, uncover campaign results and analyze business performance metrics that can make a meaningful difference in how we improve our mobile Sellers’ experience.A successful candidate will be uncompromisingly detail oriented, efficient, and customer obsessed. Your work must be accurate, timely, and insightful. You must be a self-starter who is able to work in a fast-paced and ever-changing environment. You will build sustainable and scalable processes, documentation and reporting that can be leveraged across Mobile Marketplace. You will be responsible to:- Identify, develop and execute data analysis to uncover areas of business opportunity.- Present written recommendations and insights to key stakeholders that will help shape strategies that deliver results.- Design and execute analyses and data mining by utilizing available analysis tools, interpret the results and develop recommendations and actionable steps based on the learning.- Shaping and informing key metrics and indicators by which the Seller Mobile management team will assess its performance.- Learn and understand a broad range of Amazon’s data resources and know how, when and which data sources to use.- Deep dive into massive data sets to answer key business questions using MS Excel, Oracle SQL and other data manipulation languages.- Manage and execute entire projects or components of large projects from start to finish including project management, data gathering and manipulation, synthesis and modeling and problem solving.- 3+ years of analytics/business intelligence experience is required- Bachelors or Master’s degree in Business, Engineering, Statistics, Computer Science, Mathematics or related field.- Advanced skills using SQL, ETL and databases in a business environment with large-scale, complex datasets; query tuning, data modeling- Ability to communicate clearly and concisely with technical and non-technical teams across multiple businesses; written, verbal, presentation, and interpersonal skills- Demonstrated analytical and quantitative skills to use hard data and metrics to back up assumptions- Works effectively as an individual and part of a team- Strategic thinker with the ability to see/understand the big picture- Strong attention to detail and excellent problem solving skills- Proven analytical and quantitative skills (including ability to effectively use tools such as Excel and Access) and an ability to use data and metrics to back up assumptions, develop business cases, and complete root cause analyses.- Relevant experience in data analysis, research, experimentation, business intelligence and data warehousing tools, or comparable consumer analytics solutions.- Ability to meet tight deadlines and prioritize workloads in a fast paced environment- Ability to develop new ideas and creative solutions.- 3+ years experience with mobile technologies and products/product development- Experience working in a cross functional team- Demonstrated ability to identify and solve ambiguous problems.- Demonstrated high degree of organization and ability to manage multiple, competing priorities.- Strong verbal and written communication & data presentation skills, including an ability to effectively communicate with both business and technical teams.- Strong program or project management experience- Understanding ETL Manager, Data Warehouse, Redshift.- Has experience with data presentation to tell a story.Amazon is an equal opportunity employer.",,Business Analyst,,"Santa Cruz, CA",,http://jobview.monster.com/Business-Analyst-Job-Santa-Cruz-CA-US-167262653.aspx?mescoid=1300087001001&jobPosition=1,,Engineering,5bfd3b75a363ed7f56ca0535686c2603
United States of America,US,,No,jobs.monster.com,"Business / Systems Analyst-Redmond, WA-12 Month ContractDid you know that Gartner positioned CompuCom as a Leader in its Magic Quadrant for End User Outsourcing? Come work for the leader today!Our client is the world's leading software organization seeking a candidate to create, maintain and evaluate diverse business requirements for Service Now Performance Analytics reporting solution.Tasks: * Creating reports and dashboards * Working on the list of reports to be created and self-managing reports getting done * Possibly assisting colleagues in understanding / providing knowledge on the report work * Understanding issues / functions not working properly in production and providing analysisRequirements: * 2-5 years' experience in the creation, updates and maintenance of dashboards; includes creating jobs, sources, indicators, breakdowns, and custom dashboards * ServiceNow experience * Experience working independently and running ServiceNow Performance Analytics requiredPosition is open to out-of-state candidates willing to relocate at their own expense.W2 only, no Corp to Corp. We are unable to sponsor H1B visas at this time.**CompuCom supports Employment Equity and Diversity**CompuCom Systems, Inc., a global company headquartered in Dallas, Texas, provides IT managed services, infrastructure solutions, consulting and products to Fortune 1000 companies committed to enhancing their end users' experience. Founded in 1987, privately held CompuCom employs approximately 11,500 associates. For more information, visit www.compucom.com",,Business / Systems Analyst,"Full Time , Temporary/Contract/Project","Portland, OR 97201",Computer Hardware Computer Software Computer/IT Services,http://jobview.monster.com/business-systems-analyst-2-job-portland-or-us-169018787.aspx?mescoid=1500123001001&jobPosition=11,,Experienced (Non-Manager),a47ef3282e17d37601be68a3d3160896
United States of America,US,,No,jobs.monster.com,"Job Description Job #:  718703Apex Systems Inc. In Las Vegas Nevada is looking for a Business Analyst who is interested in taking on a new and exciting job!  If you have a desire to learn new processes, systems, and grow with this organization please send us your resume.  We're excited to tell you more about these new career opportunities!General Requirements:Windows 7 experienceHotel Kiosk experience PCI compliant processesEEO EmployerApex Systems LLC is an Equal Opportunity/Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, and other protected characteristics. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 844-463-6178.",,Business Analyst,Full Time Employee,"Las Vegas, NV",Computer/IT Services,http://jobview.monster.com/business-analyst-job-las-vegas-nv-us-179214401.aspx?mescoid=1300087001001&jobPosition=3,,Experienced (Non-Manager),0cfe8e1701c1cf62f02c27ea0e259616
United States of America,US,,No,jobs.monster.com,"Title: Business Analyst SeniorLocation: Rancho Cordova, CADuration: 5+ Months DAY TO DAY RESPONSIBILITIES OF THIS POSITION AND DESCRIPTION OF PROJECT:Provides analytical support for multiple, complex, projects simultaneously, establishes work plans and timelines; coordinates with internal and external sources. Make presentations to various levels of management. Works under limited supervision, using established procedures. Advanced knowledge of automated systems in a production or operations environment. Ability to identify, analyze and resolve complex cross-functional problems related to business operations statistical analysis methodology. Advanced knowledge of and ability to perform analyses such as, GAP analysis, process mapping, root-cause analysis, risk analysis and requirements gathering. Advanced knowledge of PCs and related software applications. Excellent interpersonal and verbal/written communication skills. Excellent writing and presentation skills. Highly developed math, analytical and problem-solving skills and use of analytical tools (e.g. MiniTab, Excel graphs). Demonstrated project management skills. B.A/B.S. degree and five years related experience and/or training, or equivalent combination of education and experience.RESPONSIBILITIES:•       Leads cross-functional business process improvement efforts across Product & Marketing.•       Leads the development of documentation and complex analysis of as-is and to-be business processes.•       Exercises independent judgment in developing methods, techniques and evaluation criteria for obtaining results.•       Creates PDLC process artifacts, including SIPOCs process flows and risk analyses.•       Identifies solutions to process gaps or risks to leadership in order reduce opportunities for process failure.•       Defines highly complex business requirements and provides analysis toward operational efficiency and drives change within the organization.•       Provides highly complex analytical support and interpretation of data in order to support cross-functional business operations.•       Provides input for strategic designs and key performance indicators to better align and measures business unit goals and objectives.•       Develops and presents complex analyses and recommendations for Senior/Executive Management. REQUIREMENTS:·         B.A/B.S. degree and two or more years of related experience and/or training, or equivalent combination of education and experience.·         Business Process Analysis/Re-engineering:·         Ability to create SIPOCs, process workflows and other standard process artifacts.·         Uses a defined process to determine existing gaps, requirements for closing those gaps, and as a means to measure progress of the transition and transformation.·         Demonstrated experience leading and driving business process re-engineering efforts through the use of data-driven techniques.·         Demonstrated skills in business process modeling and analysis.Problem Solving Skills:·         Strong logical skills and ability to suggest viable options as the solutions of the problems.·         Quick learner who is easily able to learn new products, systems, applications and technologies.Communication Skills:·         Strong oral and written business communication.·         Strong presentation skills, and ability to communicate with various audiences, including end users, managers, and members of the IT team.Analytical Skills:·         Strong analytical, problem-solving and critical thinking skills.·         Ability to analyze the functional processes and suggest effective solutions.·         Ability to test, modify, compile, and execute concepts of the project.·         Experience in conducting Cross Functional Gap Analysis.·         Extensive experience in creating both ""As Is"" and ""To Be"" process modeling.Technical Skills:·         Good understanding of general system development concepts and principles, programming structures and models, Software Development Life Cycle (SDLC), technical writing, basic programming languages, etc.·         Ability to know when to apply SDLC vs. Agile methods.·         Proficient in Microsoft Office, including Word, Excel, Visio and PowerPoint Preferred Qualifications: •       Six Sigma or Lean certification•       Understanding of the product development life cycle•       Understanding of how to apply key performance indicators to control business processes Seshu Sarvepalli | Latitude36 Inc | Sr. IT RecruiterDesk : 510.210.8644 | Cell : 615.203.0108Email :  SSarvepalli@lat36.com | Web : www.Lat36.com39465 Paseo Padre Parkway, Suite #3000, Fremont, CA 94538.",,Business Process Analyst,Full Time Temporary/Contract/Project,"Rancho Cordova, CA ",,http://jobview.monster.com/business-process-analyst-job-rancho-cordova-ca-us-178917176.aspx?mescoid=1300087001001&jobPosition=6,,Business/Strategic Management,a118617f503f04000055103f682f7706
United States of America,US,,No,jobs.monster.com,"Business Analyst Associate Ready to advance your Business Analyst Career? Randstad Professionals San Francisco specializes in Accounting and Finance talent and we are continuously recruiting for Business Analyst Associates. Business Analyst Job Duties As a Business Analyst Associate you will provide basic analytical support through the examination and interpretation of data in support of cross-functional business operations. You will assist in the development of annual operating plans, capital budgets and forecasts, and in building business cases for new business initiatives. You will analyze the actual results against plan and forecast and recommend interventions where appropriate. You will provide support in the development, preparation and analysis of reports for management review. You will assist in defining business requirements and provide analysis toward operational efficiency, identifying opportunities for improvement in operational performance and notifying management of issues and problems requiring immediate attention. Ideal Candidate The ideal candidate for this position has knowledge of automated systems in a production or operations environment, and is familiar with analyses such as: GAP analysis, process mapping, root-cause analysis, risk analysis and requirements gathering. They have the ability to identify, analyze and resolve problems related to business operations and can utilize a statistical analysis methodology. They also have good interpersonal and verbal/written communication skills, and have good math, analytical and problem-solving skills. They are comfortable with the use of analytical tools (e.g. MiniTab, Excel graphs). Job Requirements• B.A./B.S. degree or equivalent experience• Knowledge of PCs and related software applications• MS Office and SharePoint experience preferred Application Process Once we know you're interested, a Randstad Professionals recruiter will review your resume and contact you to better understand your skills and tell you more about the opportunity. We will meet qualified candidates face to face, and our best talent interviews with the employer face to face - we will move quickly! Interviewing now! Click Apply to submit your resume today. Not ready to apply but want to learn more? Call or email Laurel Thornton at (415) 733-7507 or laurel.thornton@randstadusa.com",,Business Analyst Associate,Full Time Temporary/Contract/Project,"San Francisco, CA",All,http://jobview.monster.com/business-analyst-associate-job-san-francisco-ca-us-179198778.aspx?mescoid=1300087001001&jobPosition=8,,Business/Strategic Management,3ea54cca80f6790bb99f6a3f82995585
United States of America,US,,No,jobs.monster.com,"RESPONSIBILITIES:Kforce has a client in Irvine, CA that is searching for a Business Systems Analyst - Sales Operations.Responsibilities: Perform application development and maintenance support of application systems under direct supervision Will work closely with coworkers in a team oriented environment Act as lead on small enhancements and support items Provide analytical and application development support of applications for Sales Operation systems under direct supervision Design, develop and maintain systems Meets with end usersREQUIREMENTS: Must have mainframe application development experience Must have experience adhering to SDLC methodologies Extensive knowledge in mainframe based development Experienced with Hyperion (implementation experience a plus) Experience with Java and Web Services Must be able to communicate effectively with customers and coworkers to enhance customer satisfaction Must be a sound team player with initiative, resourcefulness and high level of professionalismKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",,Business Systems Analyst,"Full Time, Temporary/Contract/Project","Irvine, CA",,http://jobview.monster.com/business-systems-analyst-job-irvine-ca-us-179181238.aspx?mescoid=1500123001001&jobPosition=6,40.00 - 40.00 $ /hour,Experienced (Non-Manager),51a9d0a777ef493781750f7e1b8a551b
United States of America,US,,No,jobs.monster.com,"RESPONSIBILITIES:Kforce has a client that is searching for a Business Analyst I in Oak Brook, IL.Duties Include: Provide business function support in various power delivery settings Provide clerical and some administrative support Develop customized reports provided by integrated systems, including Passport, PeopleSoft, Impromptu, etc, and MS Office applications Use oral and written skills to present informationREQUIREMENTS: High School diploma with minimum of 5 years of experience in specific area of expertise Able to utilize PC and mainframe applications, such as Microsoft Office, PeopleSoft, Time, EERS, and PassPort proficiently Familiarity with power companies a plusKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",,Business Analyst I,"Full Time, Temporary/Contract/Project","Oak Brook, IL 60521",,http://jobview.monster.com/business-analyst-i-job-oak-brook-il-us-179171689.aspx?mescoid=1300087001001&jobPosition=20,,Experienced (Non-Manager),21e316b856c704ea93decf447dc2c007
United States of America,US,,No,jobs.monster.com,"Business Analyst - Health and Welfare (SDCSDG) at Willis Towers Watson Date Posted: 6/20/2016  Employee Type: Full-Time Location: Dallas, TX   Experience: 3 to 5 years Date Posted: 6/20/2016 The CompanyWillis Towers Watson is a leading global advisory, broking and solutions company that helps clients around the world turn risk into a path for growth. With roots dating to 1828, Willis Towers Watson has 39,000 employees in more than 120 territories. We design and deliver solutions that manage risk, optimize benefits, cultivate talent, and expand the power of capital to protect and strengthen institutions and individuals. Our unique perspective allows us to see the critical intersections between talent, assets and ideas — the dynamic formula that drives business performance. Unlock your potential at Willis Towers Watson.The BusinessOur Technology and Administration Solutions business provides benefits administration andoutsourcing solutions to many of the world’s leading organizations. “ Our purpose is to help our clients’ employees realize the full potential of their benefits; helping them be happier, healthier and more secure”. The RoleAs a Business Analyst working with Systems, Data, and the Client you will serve a key role for our outsourcing business by serving as the link between consultants, external clients and our internal team of system developers. You will contribute to the implementation of new services, and ongoing business by translating business needs into actionable programming and process steps for developers, practicing the fundamentals of systems analysis, design and testing. You will also consult to clients concerning implementation best practices, provide ongoing technical support, and train client teams.Note that this role will involve some travel to client sites and other Willis Towers Watson offices. Associate may be located in Chicago, Houston, Boston, or San Diego. A Few Select Responsibilities: Ensure that all documentation starts from baseline and adheres to standards; communicate back to base team suggestions for changes or enhancements to standard documentation. Attends client meetings relevant to the components they have responsibility for, to establish client relationship and ensure complete understanding. Responsible for developing requirements documentation. Responsible for system configuration based on client requirements. Responsible for creating test plans, and testing system changes and enhancements to ensure completeness and accuracy. Regression testing as necessary based on the nature of the system change/enhancement. Identify reporting needs and requirements. Understand SOW and be responsible for change order identification and assist with providing work and hours necessary to draft the change order. Work closely with developer to ensure project requirements/requests for changes are understood and within standards. Provide guidance to other team members regarding best/standard practices. Provide guidance/assistance to team members where needed to help ensure issues are resolved by assigned due date. Escalate concerns with ability to meet due dates to PM. Lead analyst for annual enrollment with similar responsibilities as Implementation BA during OE project. Train and help transition ongoing processing requirements to BSA. Lead client requirements meetings as needed. Maintain and update all requirements documents, ensuring adherence to standards. Research issues and cases to determine root cause and provide impact analysis for ongoing issues and changes and requests for new functionality. Addresses all calc or data issues that impact carriers. Assist PM with development of Project Plan for open enrollment and significant change orders. Responsible for any vendor file updates and ongoing support. Provide training for client on large-scale change orders to client, BOC and Service Center, as needed.",,Business Analyst,Full Time,"Dallas, TX",Other/Not Classified,http://jobview.monster.com/business-analyst-health-welfare-sdcsdg-at-willis-towers-watson-job-dallas-tx-us-168838326.aspx?mescoid=1300087001001&jobPosition=6,,Experienced (Non-Manager),8652c681158cf21191c2ed7591401596
