Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,52052,0.016
Atlanta,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,53688,0.015
Atlanta,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,52052,0.016
Atlanta,Quick Facts,2018-06,Job Openings,Job Openings,133775,0.296
New York City,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,61741,0.022
New York City,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,52052,0.016
New York City,Quick Facts,2018-06,Job Openings,Job Openings,308490,0.169
Los Angeles,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,60637,0.024
Los Angeles,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,52052,0.016
Los Angeles,Quick Facts,2018-06,Job Openings,Job Openings,226785,0.224
Philadelphia,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,55646,0.027
Philadelphia,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,52052,0.016
Philadelphia,Quick Facts,2018-06,Job Openings,Job Openings,116549,0.106
Houston,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,55409,0.02
Houston,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,52052,0.016
Houston,Quick Facts,2018-06,Job Openings,Job Openings,101768,0.176
Seattle,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,61641,0.024
Seattle,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,52052,0.016
Seattle,Quick Facts,2018-06,Job Openings,Job Openings,111340,0.119
San Francisco,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,69655,0.026
San Francisco,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,52052,0.016
San Francisco,Quick Facts,2018-06,Job Openings,Job Openings,155498,0.302
Chicago,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,56447,0.015
Chicago,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,52052,0.016
Chicago,Quick Facts,2018-06,Job Openings,Job Openings,217777,0.299
Boston,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,59682,0.016
Boston,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,52052,0.016
Boston,Quick Facts,2018-06,Job Openings,Job Openings,161944,0.257
Washington DC,Quick Facts,2018-06,Metro Median Pay,Metro Median Pay,59855,0.023
Washington DC,Quick Facts,2018-06,U.S. Median Pay,U.S. Median Pay,52052,0.016
Washington DC,Quick Facts,2018-06,Job Openings,Job Openings,183748,0.167
National,Job Title,2018-06,Software Engineer,Median Base Pay,86563,0.018
National,Job Title,2018-06,Programmer Analyst,Median Base Pay,69129,0.005
National,Job Title,2018-06,Consultant,Median Base Pay,73408,0.018
National,Job Title,2018-06,Project Manager,Median Base Pay,72583,-0.006
National,Job Title,2018-06,Store Manager,Median Base Pay,48920,0.018
National,Job Title,2018-06,Business Analyst,Median Base Pay,65004,0.007
National,Job Title,2018-06,Cashier,Median Base Pay,28017,0.049
National,Job Title,2018-06,Financial Analyst,Median Base Pay,63367,0.021
National,Job Title,2018-06,Administrative Assistant,Median Base Pay,39430,0.019
National,Job Title,2018-06,Accountant,Median Base Pay,56398,0.024
National,Job Title,2018-06,Sales Representative,Median Base Pay,47542,0.01
National,Job Title,2018-06,Professor,Median Base Pay,87664,-0.001
National,Job Title,2018-06,Registered Nurse,Median Base Pay,67222,0.013
National,Job Title,2018-06,Marketing Manager,Median Base Pay,68526,0.014
