advertiser_url,company,employmenttype_jobstatus,job_description,jobid,job_location,job_title,postdate,skills,uniq_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.dice.com/jobs/detail/Business-Systems-Analyst-VanderHouwen-%2526-Associates%252C-Inc.-Hillsboro-OR-97124/vhassoc/31326-1807-MH58?icid=sr14659-489p&q=&l=California,%20Us,%20CALIFORNIA","VanderHouwen & Associates, Inc.","Contract W2, Contract","VanderHouwen has more jobs you may like! Find them here: http://bit.ly/1RIQfgE PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetworkJoining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you.  SummaryOur client is looking for a Business Systems Analyst who is Comfortable working in an ambiguous, complex environment with various teams and groups.Qualifications Background in creation of Internal Software desired, as opposed to .com business.Working knowledge of 3D principles preferred.Design Tool experience (AI, Maya, Browzwear, etc.) preferred.",Dice Id : vhassoc,OR,Systems Analyst,7 hours ago,"AI, Maya, Browzwear, 3D",b923d29624fb4dc9e193aa30f8253ee6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.dice.com/jobs/detail/Business-Analyst-VanderHouwen-%2526-Associates%252C-Inc.-Spokane-WA-99201/vhassoc/30206-1807-MH58?icid=sr14669-489p&q=&l=California,%20Us,%20CALIFORNIA","VanderHouwen & Associates, Inc.","Full Time, Full time","PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetwork  Joining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you.Responsibilities Provides companywide strategic, analytical, and technical support for Information Delivery activities. The analyst acts as an intermediary between the business community and the technical community working with IT project teams and business partners to collect, clarify, and translate business requirements into documentation, conceptual designs, and Information Delivery solutions.Partners with business departmental teams to define and document business requirements for new metrics and reports.Elicits requirements using interviews, document analysis, requirements workshops, surveys, site visits, business process descriptions, use cases, scenarios, business analysis, and task and workflow analysis.Creates user-centric designs based on business and functional requirements, user research, market analysis, customer feedback, and usability findings.Designs user interfaces by using conceptual design techniques such as creating visual mock-ups, prototypes, and diagrams.Projects: 50%Day-to-Day Support: 40%Adhoc Request: 10%Qualifications Required Bachelors Degree in Computer Science or a related field is a bonus, but is not required.Certifications are a bonus, but are not required.5+ years of experience in working in systems and applications analysis.Data modelling, database design, database administration and web support.Data collection, data mining, data hygiene, and a close attention to detail. Accuracy is everything for reporting.Experience working in the Microsoft SQL Reporting Services Suite: SSRS, SSAS, SSIS (importance in that order).Database experience in SQL and T-SQL: will create stored procedures, pivot tables (PowerPivot / PowerView), views, triggers, etc.Additional tasks include supporting the company intranet through SharePoint Administration.Must have excellent communication and collaboration skills, as this team works across multiple groups. Someone that can create and build true internal partnerships, open communication skills, a propensity to learn and expand on their abilities, an ability to handle a constantly changing environment, and that can deal with ambiguity.Must be self-motivated and be able to take loose requirements and be creative with it.Qualifications Preferred Data Visualization experience is a major bonus.SharePoint Administration experience.Experience working in Cognos, Tableau, SAP Business Objects or any of the other major reporting tools.",Dice Id : vhassoc,WA,Business Analyst,7 hours ago,SQL,510481dba5a43cc2b77546f0dadb1ce4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.dice.com/jobs/detail/Business-Systems-Analyst-VanderHouwen-%2526-Associates%252C-Inc.-Beaverton-OR-97006/vhassoc/30570-1807-MH58?icid=sr14173-473p&q=&l=California,%20Us,%20CALIFORNIA","VanderHouwen & Associates, Inc.","Contract W2, Contract","PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetwork  Joining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you.ResponsibilitiesPartner with business teams to identify, define, and document requirements to support project and business objectivesConduct and/or participates in the analysis of client business processes and functional requirementsPerform data and process analysis to understand key source systems and using knowledge of application features and functions to assess scope and impact of business needsCollaborate with users, development, and QA teams throughout the project lifecycleAct as client proxy during development and testingIdentify and documents workflow, process diagrams, information resources, and system specificationsParticipate in the analysis and definition of efficient, cost effective solutions that support business processes and functional requirementsSuccessfully design and facilitate requirements elicitation sessions including use of interviews, document analysis, workshops, surveys, business process outcome modeling, personas, user centric design, task and workflow analysisQualifications Proven track record creating innovative product ideas and concepts that meet business and product strategies based on rigorous analysis of customer needs, the current technology landscape and the competitive environment.Strong understanding of enterprise-level eCommerce platforms and technologies including user profile management, messaging platforms, content personalization, product information, and social platforms.Experience working with in-house development teams using SCRUM methodology, authoring user stories and acceptance criteria, collaborating with developers and QA to ensure product features are delivered according to specifications.Proven track record leading cross-functional teams, including architects, developers, designers and business stakeholders. Ability to facilitate business, process, and technical discussions to drive clarity and understanding among a diverse set of senior stakeholders.Ability to create and prioritize feature backlogs and product roadmaps, with a clear understanding of company, group and team goals and objectives.Demonstrated philosophy of continuous improvement, applying product management best practices to your work and sharing those with the Digital Product Management community.A high tolerance for ambiguity and demonstrated ability to achieve business results in a hyper-dynamic environment.Bachelor's degree in Business, Computer Science, Marketing, or related field. MBA is preferred.4+ years product management experience in a technology-centric business. Strong B2C digital product management for consumer-facing experiences is a must.  ",Dice Id : vhassoc,OR,Systems Analyst,7 hours ago,B2C digital product management,8d0ffe9061aa61fbd3fdfae28fa9e2b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.dice.com/jobs/detail/Business-Analyst-%2526%252345-Mortgage%2526%252347Equiting-Lending%252C-Lean-Six-Sigma-Green-Belt%2526%252347Black-Belt-SMCI-Los-Angeles-CA-90001/10301550/B160089?icid=sr12694-424p&q=&l=California,%20Us,%20CALIFORNIA",SMCI,"Contract W2, 5","Job Description: Seeking a Business Process Analyst with industry and functional experience in process re- engineering. Will manage one specific track of the business process re-engineering or improvement efforts as part of a large scale project. Will work with a cross-functional team to re-design business process to align with new technology implementation or business strategy.At the direction of the Business Transformation Leader, assist in establishing clear objectives and deliverables of converting technologies, the look and design of the new platform for the track that supports the business. Schedule and run all phase reviews and track reviews in support of the business process Leader/DirectorTrack progress, report status and make necessary corrections to achieve all track goalsManage risks and issues through effective contingency plans and proper escalation. Organize and lead team meetings and maintain schedule. Analyze and report actual performance vs. business case goals. Work in a self directed environment. Present to track management on program status.Required Skills: Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt. Don't hesitate! Submit your resume today. SMCI is an EEO employer. All qualified applicants will receive consideration without regard to race, color, religion, sex, pregnancy, national origin, disability, age, genetic information, veteran status, sexual orientation and identity, AIDS/HIV, medical condition, political activities or affiliations, or status as a victim of domestic violence, assault, or stalking. (No third parties, please)(H1 sponsorship currently unavailable)(Local candidates only, please)",Dice Id : 10301550,CA,Business Analyst,5 hours ago,"Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt",0445fcb37ab17f686c025da15a98de52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.dice.com/jobs/detail/Business-Analyst-%2526%252345-digital-analytics%252C-Google%252C-Adobe%252C-Tableau%252C-ForeSee%252C-SQL-SMCI-Burbank-CA-91501/smci/A160881?icid=sr12621-421p&q=&l=California,%20Us,%20CALIFORNIA",SMCI,"C2H W2, 6","Job Description: Our banking client is looking for a Digital Analytics consultant who has experience with any of the following digital tools - Adobe, Google, Tableau, Foresee or similar tools. Consultant must be able to evaluate trends, work with dashboards and monitor the websites.Required Skills: SQL; EXCEL; Google Analytics, Adobe, Tableau. Don't hesitate! Submit your resume today. SMCI is an EEO employer. All qualified applicants will receive consideration without regard to race, color, religion, sex, pregnancy, national origin, disability, age, genetic information, veteran status, sexual orientation and identity, AIDS/HIV, medical condition, political activities or affiliations, or status as a victim of domestic violence, assault, or stalking. (No third parties, please)(H1 sponsorship currently unavailable)(Local candidates only, please)",Dice Id : smci,CA,Business Analyst,5 hours ago,"digital analytics, Google, Adobe, Tableau, ForeSee, SQL",bb39139fe34f98132e057d2bc5f27ffc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.dice.com/jobs/detail/Business-Analyst-Princeton-Information-Ltd-Tampa-FL-33637/cxprince/16-13263?icid=sr12782-427p&q=&l=California,%20Us,%20CALIFORNIA",Princeton Information Ltd,"Full Time, FULL_TIME","Oracle functional resource with strong iProcurement and Procurement module expertise as well as overall Oracle eBusiness Suite knowledge. Requires functional and operational expertise and knowledge to perform complex data and resolution analysis . Proven expertise in Oracle ebusiness suite financial system configurations (setups) and solutioning capabilities. Procurement Operation experience would be a significant plus. Must have prior experience with system integration points, issues management and proven prioritization and multi-tasking capabilities. Requires exceptional communication skills including end-user training. Superior business requirement gathering and documentation expertise including advanced Microsoft Office application skills. Ability to troubleshoot and ensure focus on key production or program delivery issues. Princeton Information is one of the nation's top five privately-held IT consulting firms, in business since 1985. Princeton Information services a clientele of primarily Fortune 500 companies nationwide. With annual revenues over $120 million, Princeton Information operates across the US from multiple regional offices. Our Commitment to Our Consultants As a privately held company, Princeton Information is solely committed to the success of clients and consultants - not to any shareholders. PI's success is grounded in the relationships we build with our consultants. We seek the best people; provide career path counseling; as well as the most challenging opportunities in business and in IT. As part of its culture of loyalty and commitment to its consultants, Princeton Information is committed to doing all we can to ensure our consultants have the best possible search, placement and work experience possible. Our Services Working with one Princeton Recruiter will gain you access to over 500 open requirements with the top clients in the US across all industries (finance, insurance, pharmaceutical, commercial, telecom, media, manufacturing) nationwide. Our local recruiters have in-depth knowledge of our clients and opportunities. They will work with you to find you the best possible opportunities for you and your career. Our Relationships Our relationships with our clients, as well as our consultants, are critical to our success! We have a robust sales organization that ensures that Princeton has the inside track on what attributes a person needs in order to be successfully placed and engaged at our clients. We know the technical and non-technical skills that our clients are looking for and we ensure that you are educated about the client prior to your interview with them. Princeton is committed to going above and beyond to ensure that each meeting you have with a client is a successful one!",Dice Id : cxprince,FL,Business Analyst,5 hours ago,"Access, Analysis, Analyst, Application, Business Analyst, Consulting, IT, Management, Oracle, System, Telecom",db89add7e8f0b9fe3a11658e772cf158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.dice.com/jobs/detail/Business-Analyst-%2526%252345-Business-Analyst-healthcare-SMCI-Long-Beach-CA-90801/10301550/B160102?icid=sr12744-425p&q=&l=California,%20Us,%20CALIFORNIA",SMCI,"Contract W2, 12","Job Description: Business Analysst with Market Place or Insurance Broker Onboarding and Commissioning experience.Required Skills: BUSINESS ANALYST. Don't hesitate! Submit your resume today. SMCI is an EEO employer. All qualified applicants will receive consideration without regard to race, color, religion, sex, pregnancy, national origin, disability, age, genetic information, veteran status, sexual orientation and identity, AIDS/HIV, medical condition, political activities or affiliations, or status as a victim of domestic violence, assault, or stalking. (No third parties, please)(H1 sponsorship currently unavailable)(Local candidates only, please)",Dice Id : 10301550,CA,Business Analyst,5 hours ago,"SQL, Oracle",d567b8665c22d38e071884dbea84c067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.dice.com/jobs/detail/Data-Analyst-Sumeru-Los-Angeles-CA-90017/10335006/AD1208?icid=sr12050-402p&q=&l=California,%20Us,%20CALIFORNIA",Sumeru,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, 6 Months CTH","One of our Big4 Client in California area is looking to hire an experienced Data Analyst with P&C (Property and Casualty) Insurance background.  This is a Contract to Hire role for 6 months initially to start.If interested please apply with your updated resume at apoorv.dubey@sumerusolutions.com.Job Description: Job Title:Data Analyst           Location:Los Angeles, CA          Duration:6 Months (Contract to Hire)  Travel: 80% (Friday Remote)Rate: Hourly + ExpensesRoles and responsibilities:Heavy P&C Insurance Industry backgroundIdeally will have Guidewire and Policy specific experience, but not a mandate. It will be a plus.Attend client meetings which includes program status reports, one off requests, mapping/modeling sessions as required, escalationKeep management informed/awareMaintain defined scopeManage and maneuver multiple work streams with interdependencies, but struggle with open lines of communicationsExperience with Data Mapping.",Dice Id : 10335006,CA,Data Analyst,5 hours ago,SQL,51fb54d1436e6e04819db57721b35f31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.dice.com/jobs/detail/Systems-Engineer-%2526%252347-Systems-Integrator-SIS%2526%252345Systems-Integration-Solutions%252C-Inc.-Emeryville-CA-94608/sis/40814?icid=sr12150-405p&q=&l=California,%20Us,%20CALIFORNIA","SIS-Systems Integration Solutions, Inc.","Full Time, FTE","Systems Engineer Job type: FTELocation: Emeryville, CA JOB SUMMARYThe Systems Engineer will be involved in business critical technical projects that require solution assessment, design, and implementation activities for Windows, Linux, and storage infrastructure. This position will also provide production and on-call support for enterprise applications and infrastructure. The Systems Engineer will use skills in Windows and Linux servers on an industry leading virtual platform to maintain a highly-available, highly-scalable, and geographically diverse infrastructure to support business critical applications. ESSENTIAL JOB DUTIES & RESPONSIBILITIES• Manage, maintain, and optimize core IT systems and services including Active Directory, Windows & Linux servers, Virtual clustering, storage, and more.• Drive business critical projects working with closely with key stakeholders and leveraging vendors and consultants as appropriate.• Analyze and tune systems for performance, throughput, resource utilization, high availability and scalability.• Review of infrastructure systems periodically to ensure adequate capacity, performance levels, and upgrade requirements.• Provide day-to-day management of the systems infrastructure to ensure available and uptime meet business SLA’s.• Manage and maintain storage arrays to help ensure highest levels of uptime and performance.• Create and maintain high quality documentation.• Provide regular status updates on active projects.• Support and maintain remote desktop infrastructure to help ensure highest levels of uptime and performance.• Monitor and evaluate system performance and make recommendations to improve overall performance. Ensure production and pre-production servers/networks are proactively monitored. • Perform routine diagnostics and maintenance and install/implement new hardware or software.• Perform standard configuration, management, and maintenance tasks for Virtual platform and related file systems, storage, network, and applications.• Review and deploy Linux and Windows-based system related and vendor supplied application patches according to best practices.• Provide automation and tuning of enterprise systems and applications through use of scripting.• Deploy internal application software updates in multiple environments, from Development to Production, following established Change Control process.• Mentor systems administrators providing guidance, knowledge transfer, and technical direction.• Provide escalation support to other system administrators.• Monitor Linux and Windows server systems and associated applications.• Participate in disaster recovery and fault tolerance management and testing.• Troubleshoot and break/fix for hardware, operating system, and application software problems.• Provide ad hoc assistance, as needed. Skills & Experience• Bachelor’s degree in Computer Science, a related IT field, and/or 4+ years of experience working within a diverse IT infrastructure.• Four or more years of experience with Windows server administration and multi-tier application production operations.• Experience with Linux and Windows performance monitoring, tuning, troubleshooting, and security hardening.• Strong virtual infrastructure administration experience.• Strong storage systems management skills.• Strong networking capability (DNS, Wireless, Switches, VLANs, IPSEC tunnels, Firewalls, etc.).• Strong knowledge of SMTP, DHCP, DNS, LDAP, CIFS, NFS, SNMP, and Windows and Linux systems security.• Advanced knowledge and experience with Windows Server family – knowledge of scripting and automation techniques key.• Previous experience with Load Balancer a plus.• Strong knowledge of Microsoft Active Directory services.• Previous experience administering virtualized infrastructure.• Past experience supporting Citrix XenApp infrastructure.• Experience with managing Open Source software.• Scripting/automation experience a plus (e.g. PowerShell).• Ability to prioritize tasks and reach out for assistance when appropriate.• Demonstrated strong analytical and troubleshooting skills.• Ability to mentor and knowledge transfer to team members.• Must be able to comfortably communicate technical information to all levels of technical proficiency.• Self-motivated, self-directed, and attention to detail while working with data.• Ability to effectively prioritize and execute reporting tasks in a fast-paced, results-driven environment.• Experience working in a team-oriented, collaborative environment with a diverse team of business and IT staff. Candidate needs solid Citrix and storage (preferably NetApp) experienceNetApp (or other storage)Win stack (incl SQL DB)CitrixVmWare v5.5some LinuxAbility to wear multiple hatsMore of an engineer role more than a straight admin",Dice Id : sis,CA,Systems Engineer,5 hours ago,"NetApp, SQL, Citrix,  Linux",e63df4401833d9923a5e73bf90d93968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.dice.com/jobs/detail/Data-Architect-%2526%252345-III-Mitchell-Martin-New-York-NY-10001/mitchmar1/MITCA000J4070?icid=sr12085-403p&q=&l=California,%20Us,%20CALIFORNIA",Mitchell Martin,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Contract","Our client, major bank which monitors the monetary policy, financial supervision and the payments system, is seeking a Data Architect .   Location: New York, NY Position type: Contract   Required Skills: - 8+ years of solid experience in Informatica Powercenter (including versions 8.6 & above), Unix (AIX) shell scripting, & Oracle (including 10G & above) PL/SQL programming, SQL Server stored procedures - Experi ence with high volume of data - Experience in performance tuning of Informatica and relational databases esp ecially Oracle and SQL Server - Experience in working with multiple flat files as sources and targets - Experience in working with unstructured data using Informatica data transformation services (DTS) - Strong verbal, presentation, and written communication skills - Strong initiative, ability to self-manage and also work in a team environment   Top 5 Required Technical Skills: - Informatica Power Center 8.6/9.6.X/10.X skills - Oracle SQL/PLSQL and SQL Se rver stored procedure skills - AIX shell scripting/Wi ndows batch scripting skills -ETL architect skills - Informatica data transformation services (DTS) skills   Preferred Skills : - Informatica data quality (IDQ) - Informatica data masking - SQL Server Integration services (SSIS)   Responsibilities: - Work under the guidance of data architects or SMEs to analyze and understand the source and target data systems to valid ate the business requirements - Develop the Informatica jobs to transform and load data as per the specifications as req uired by the data architects - Apply Informatica best practices during development with a strong focus on reusa bility and better performance - Mentor others in In formatica usage when required - Produce clearly articulated do cumentation in data integration - Provide inpu ts to architecture and design - Keeps other designers, team leads and project managers well informed of progress and results",Dice Id : mitchmar1,NY,Data Architect,5 hours ago,"AIX, Architecture, Business Requirements, CSS, Development, HTML, HTTP, Informatica, Oracle, PLSQL, PL/SQL, Programming, Project, Shell Scripting, SQL, SQL Server, Supervision, Unix",218a7a397b11e68c42185df694d2e55c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
